"date","real","first_dose","new_dose1","avg_daily_first_dose","pct"
2021-03-08,"Projected",66754.8571428571,NA,1174.14285714286,0.317906007357058
2021-03-09,"Projected",67929,NA,1174.14285714286,0.323497616473714
2021-03-10,"Projected",69103.1428571428,NA,1174.14285714286,0.329089225590371
2021-03-11,"Projected",70277.2857142857,NA,1174.14285714286,0.334680834707027
2021-03-12,"Projected",71451.4285714285,NA,1174.14285714286,0.340272443823683
2021-03-13,"Projected",72625.5714285714,NA,1174.14285714286,0.34586405294034
2021-03-14,"Projected",73799.7142857142,NA,1174.14285714286,0.351455662056996
2021-03-15,"Projected",74973.8571428571,NA,1174.14285714286,0.357047271173653
2021-03-16,"Projected",76147.9999999999,NA,1174.14285714286,0.362638880290309
2021-03-17,"Projected",77322.1428571428,NA,1174.14285714286,0.368230489406965
2021-03-18,"Projected",78496.2857142857,NA,1174.14285714286,0.373822098523622
2021-03-19,"Projected",79670.4285714285,NA,1174.14285714286,0.379413707640278
2021-03-20,"Projected",80844.5714285714,NA,1174.14285714286,0.385005316756934
2021-03-21,"Projected",82018.7142857142,NA,1174.14285714286,0.390596925873591
2021-03-22,"Projected",83192.8571428571,NA,1174.14285714286,0.396188534990247
2021-03-23,"Projected",84366.9999999999,NA,1174.14285714286,0.401780144106904
2021-03-24,"Projected",85541.1428571428,NA,1174.14285714286,0.40737175322356
2021-03-25,"Projected",86715.2857142856,NA,1174.14285714286,0.412963362340216
2021-03-26,"Projected",87889.4285714285,NA,1174.14285714286,0.418554971456873
2021-03-27,"Projected",89063.5714285713,NA,1174.14285714286,0.424146580573529
2021-03-28,"Projected",90237.7142857142,NA,1174.14285714286,0.429738189690185
2021-03-29,"Projected",91411.8571428571,NA,1174.14285714286,0.435329798806842
2021-03-30,"Projected",92585.9999999999,NA,1174.14285714286,0.440921407923498
2021-03-31,"Projected",93760.1428571428,NA,1174.14285714286,0.446513017040155
2021-04-01,"Projected",94934.2857142856,NA,1174.14285714286,0.452104626156811
2021-04-02,"Projected",96108.4285714285,NA,1174.14285714286,0.457696235273467
2021-04-03,"Projected",97282.5714285713,NA,1174.14285714286,0.463287844390124
2021-04-04,"Projected",98456.7142857142,NA,1174.14285714286,0.46887945350678
2021-04-05,"Projected",99630.857142857,NA,1174.14285714286,0.474471062623436
2021-04-06,"Projected",100805,NA,1174.14285714286,0.480062671740093
2021-04-07,"Projected",101979.142857143,NA,1174.14285714286,0.485654280856749
2021-04-08,"Projected",103153.285714286,NA,1174.14285714286,0.491245889973406
2021-04-09,"Projected",104327.428571428,NA,1174.14285714286,0.496837499090062
2021-04-10,"Projected",105501.571428571,NA,1174.14285714286,0.502429108206718
